Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
07/07/21,17:20,5.84,0.12,93.99,93.84
07/07/21,17:22,5.90,0.12,92.83,92.54
07/07/21,17:24,6.71,0.15,94.73,94.65
07/07/21,17:26,11.14,0.46,66.81,89.18
07/07/21,17:26,5.71,0.30,93.99,93.84
07/07/21,17:27,5.68,0.16,92.81,92.48
07/07/21,17:28,5.79,0.13,94.03,93.86
07/07/21,17:30,5.86,0.10,92.78,92.53
07/07/21,17:32,5.91,0.09,93.90,93.82
07/07/21,17:33,5.90,0.29,93.70,93.30
07/07/21,17:34,5.82,0.09,93.29,92.53
07/07/21,17:36,5.84,0.08,93.92,93.83
07/07/21,17:38,5.66,0.17,92.97,92.55
07/07/21,17:40,5.48,0.21,94.11,93.88
07/07/21,17:42,5.87,0.10,92.81,92.42
07/07/21,17:44,5.78,0.05,92.36,92.26
07/07/21,17:46,10.29,0.30,77.24,93.84
07/07/21,17:48,5.86,0.14,94.14,93.85
07/07/21,17:50,5.33,0.42,92.98,92.48
07/07/21,17:52,5.71,0.17,94.04,93.83
07/07/21,17:54,5.75,0.07,92.65,92.51
07/07/21,17:56,5.60,0.25,93.99,93.85
07/07/21,17:58,5.88,0.09,93.94,93.81
07/07/21,18:00,5.77,0.16,83.47,92.13
07/07/21,18:02,5.37,0.37,93.45,93.83
07/07/21,18:04,5.36,0.18,94.13,93.85
